ENSG0000174	LOC_Os01g03980
ENSG0000175	LOC_Os01g04010
ENSG0000176	LOC_Os01g04020
ENSG0000177	LOC_Os01g04030
ENSG0000178	LOC_Os01g04040
ENSG0000179	LOC_Os01g04050
ENSG0000180	LOC_Os01g04100
ENSG0000181	LOC_Os01g04110
ENSG0000182	LOC_Os01g04120
ENSG0000183	LOC_Os01g04160
ENSG0000184	LOC_Os01g04170
ENSG0000185	LOC_Os01g04190
ENSG0000186	LOC_Os01g04200
ENSG0000187	LOC_Os01g04220
ENSG0000188	LOC_Os01g04230
ENSG0000189	LOC_Os01g04250
ENSG0000190	LOC_Os01g04260
ENSG0000191	LOC_Os01g04280
ENSG0000192	LOC_Os01g04290
ENSG0000193	LOC_Os01g04300
ENSG0000194	LOC_Os01g04324
ENSG0000195	LOC_Os01g04330
ENSG0000196	LOC_Os01g04340
ENSG0000197	LOC_Os01g04350
ENSG0000198	LOC_Os01g04360
ENSG0000199	LOC_Os01g04370
ENSG0000200	LOC_Os01g04380
ENSG0000201	LOC_Os01g04390
ENSG0000202	LOC_Os01g04409
ENSG0000203	LOC_Os01g04430
ENSG0000204	LOC_Os01g04440
ENSG0000205	LOC_Os01g04450
ENSG0000206	LOC_Os01g04470
ENSG0000207	LOC_Os01g04480
ENSG0000208	LOC_Os01g04490
ENSG0000209	LOC_Os01g04500
ENSG0000210	LOC_Os01g04530
ENSG0000211	LOC_Os01g04570
ENSG0000212	LOC_Os01g04580
ENSG0000213	LOC_Os01g04590
ENSG0000214	LOC_Os01g04600
ENSG0000215	LOC_Os01g04630
ENSG0000216	LOC_Os01g04650
ENSG0000217	LOC_Os01g04670
ENSG0000218	LOC_Os01g04699
ENSG0000219	LOC_Os01g04710
ENSG0000220	LOC_Os01g04720
ENSG0000221	LOC_Os01g04730
ENSG0000222	LOC_Os01g04750
ENSG0000223	LOC_Os01g04800
ENSG0000224	LOC_Os01g04814
ENSG0000225	LOC_Os01g04830
ENSG0000226	LOC_Os01g04840
ENSG0000227	LOC_Os01g04860
ENSG0000228	LOC_Os01g04870
ENSG0000229	LOC_Os01g04910
ENSG0000230	LOC_Os01g04920
ENSG0000231	LOC_Os01g04930
ENSG0000232	LOC_Os01g04950
ENSG0000233	LOC_Os01g04990
ENSG0000234	LOC_Os01g05010
ENSG0000235	LOC_Os01g05060
ENSG0000236	LOC_Os01g05064
ENSG0000237	LOC_Os01g05070
ENSG0000238	LOC_Os01g05080
ENSG0000239	LOC_Os01g05090
ENSG0000240	LOC_Os01g05100
ENSG0000241	LOC_Os01g05120
ENSG0000242	LOC_Os01g05130
ENSG0000243	LOC_Os01g05140
ENSG0000244	LOC_Os01g05150
ENSG0000245	LOC_Os01g05170
ENSG0000246	LOC_Os01g05180
ENSG0000247	LOC_Os01g05210
ENSG0000248	LOC_Os01g05220
ENSG0000249	LOC_Os01g05250
ENSG0000250	LOC_Os01g05260
ENSG0000251	LOC_Os01g05280
ENSG0000252	LOC_Os01g05289
ENSG0000253	LOC_Os01g05340
ENSG0000254	LOC_Os01g05420
ENSG0000255	LOC_Os01g05430
ENSG0000256	LOC_Os01g05470
ENSG0000257	LOC_Os01g05480
ENSG0000258	LOC_Os01g05490
ENSG0000259	LOC_Os01g05500
ENSG0000260	LOC_Os01g05510
ENSG0000261	LOC_Os01g05530
ENSG0000262	LOC_Os01g05540
ENSG0000263	LOC_Os01g05560
ENSG0000264	LOC_Os01g05580
ENSG0000265	LOC_Os01g05600
ENSG0000266	LOC_Os01g05610
ENSG0000267	LOC_Os01g05620
ENSG0000268	LOC_Os01g05630
ENSG0000269	LOC_Os01g05640
ENSG0000270	LOC_Os01g05650
ENSG0000271	LOC_Os01g05660
ENSG0000272	LOC_Os01g05670
ENSG0000273	LOC_Os01g05680
ENSG0000274	LOC_Os01g05694
ENSG0000275	LOC_Os01g05720
ENSG0000276	LOC_Os01g05731
ENSG0000277	LOC_Os01g05744
ENSG0000278	LOC_Os01g05790
ENSG0000279	LOC_Os01g05800
ENSG0000280	LOC_Os01g05810
ENSG0000281	LOC_Os01g05820
ENSG0000282	LOC_Os01g05830
ENSG0000283	LOC_Os01g05840
ENSG0000284	LOC_Os01g05850
ENSG0000285	LOC_Os01g05860
ENSG0000286	LOC_Os01g05880
ENSG0000287	LOC_Os01g05900
ENSG0000288	LOC_Os01g05940
ENSG0000289	LOC_Os01g05959
ENSG0000290	LOC_Os01g05980
ENSG0000291	LOC_Os01g05970
ENSG0000292	LOC_Os01g06010
ENSG0000293	LOC_Os01g06020
ENSG0000294	LOC_Os01g06040
ENSG0000295	LOC_Os01g06050
ENSG0000296	LOC_Os01g06060
ENSG0000297	LOC_Os01g06140
ENSG0000298	LOC_Os01g06220
ENSG0000299	LOC_Os01g06230
ENSG0000300	LOC_Os01g06250
ENSG0000301	LOC_Os01g06270
ENSG0000302	LOC_Os01g06280
ENSG0000303	LOC_Os01g06290
ENSG0000304	LOC_Os01g06340
ENSG0000305	LOC_Os01g06370
ENSG0000306	LOC_Os01g06384
ENSG0000307	LOC_Os01g06410
ENSG0000308	LOC_Os01g06420
ENSG0000309	LOC_Os01g06430
ENSG0000310	LOC_Os01g06440
ENSG0000311	LOC_Os01g06450
ENSG0000312	LOC_Os01g06454
ENSG0000313	LOC_Os01g06460
ENSG0000314	LOC_Os01g06470
ENSG0000315	LOC_Os01g06490
ENSG0000316	LOC_Os01g06500
ENSG0000317	LOC_Os01g06510
ENSG0000318	LOC_Os01g06520
ENSG0000319	LOC_Os01g06550
ENSG0000320	LOC_Os01g06560
ENSG0000321	LOC_Os01g06580
ENSG0000322	LOC_Os01g06590
ENSG0000323	LOC_Os01g06600
ENSG0000324	LOC_Os01g06640
ENSG0000325	LOC_Os01g06660
ENSG0000326	LOC_Os01g06740
ENSG0000327	LOC_Os01g06750
ENSG0000328	LOC_Os01g06890
ENSG0000329	LOC_Os01g06900
ENSG0000330	LOC_Os01g06920
ENSG0000331	LOC_Os01g06940
ENSG0000332	LOC_Os01g06960
ENSG0000333	LOC_Os01g06980
ENSG0000334	LOC_Os01g06990
ENSG0000335	LOC_Os01g07010
ENSG0000336	LOC_Os01g07020
ENSG0000337	LOC_Os01g07030
ENSG0000338	LOC_Os01g07040
ENSG0000339	LOC_Os01g07050
ENSG0000340	LOC_Os01g07060
ENSG0000341	LOC_Os01g07090
ENSG0000342	LOC_Os01g07100
ENSG0000343	LOC_Os01g07110
ENSG0000344	LOC_Os01g07120
ENSG0000345	LOC_Os01g07130
ENSG0000346	LOC_Os01g07140
ENSG0000347	LOC_Os01g07150
ENSG0000348	LOC_Os01g07170
ENSG0000349	LOC_Os01g07190
ENSG0000350	LOC_Os01g07200
ENSG0000351	LOC_Os01g07212
ENSG0000352	LOC_Os01g07240
ENSG0000353	LOC_Os01g07250
ENSG0000354	LOC_Os01g07260
ENSG0000355	LOC_Os01g07300
ENSG0000356	LOC_Os01g07310
ENSG0000357	LOC_Os01g07320
ENSG0000358	LOC_Os01g07330
ENSG0000359	LOC_Os01g07340
ENSG0000360	LOC_Os01g07360
ENSG0000361	LOC_Os01g07364
ENSG0000362	LOC_Os01g07370
ENSG0000363	LOC_Os01g07376
ENSG0000364	LOC_Os01g07382
ENSG0000365	LOC_Os01g07390
ENSG0000366	LOC_Os01g07400
ENSG0000367	LOC_Os01g07410
ENSG0000368	LOC_Os01g07420
ENSG0000369	LOC_Os01g07430
ENSG0000370	LOC_Os01g07450
ENSG0000371	LOC_Os01g07480
ENSG0000372	LOC_Os01g07490
ENSG0000373	LOC_Os01g07500
ENSG0000374	LOC_Os01g07520
ENSG0000375	LOC_Os01g07530
ENSG0000376	LOC_Os01g07540
ENSG0000377	LOC_Os01g07560
ENSG0000378	LOC_Os01g07570
ENSG0000379	LOC_Os01g07590
ENSG0000380	LOC_Os01g07620
ENSG0000381	LOC_Os01g07630
ENSG0000382	LOC_Os01g07660
ENSG0000383	LOC_Os01g07700
ENSG0000384	LOC_Os01g07720
ENSG0000385	LOC_Os01g07730
ENSG0000386	LOC_Os01g07750
ENSG0000387	LOC_Os01g07760
ENSG0000388	LOC_Os01g07770
ENSG0000389	LOC_Os01g07780
ENSG0000390	LOC_Os01g07800
ENSG0000391	LOC_Os01g07810
ENSG0000392	LOC_Os01g07850
ENSG0000393	LOC_Os01g07870
ENSG0000394	LOC_Os01g07880
ENSG0000395	LOC_Os01g07890
ENSG0000396	LOC_Os01g07900
ENSG0000397	LOC_Os01g07910
ENSG0000398	LOC_Os01g07920
ENSG0000399	LOC_Os01g07940
ENSG0000400	LOC_Os01g07950
ENSG0000401	LOC_Os01g07960
ENSG0000402	LOC_Os01g07970
ENSG0000403	LOC_Os01g07980
ENSG0000404	LOC_Os01g08010
ENSG0000405	LOC_Os01g08034
ENSG0000406	LOC_Os01g08069
ENSG0000407	LOC_Os01g08090
ENSG0000408	LOC_Os01g08100
ENSG0000409	LOC_Os01g08110
ENSG0000410	LOC_Os01g08130
ENSG0000411	LOC_Os01g08150
ENSG0000412	LOC_Os01g08160
ENSG0000413	LOC_Os01g08170
