Label
LOC_Os07g07790
LOC_Os10g32980
LOC_Os01g54620
LOC_Os06g46799
LOC_Os07g44280
LOC_Os01g15830
LOC_Os09g25490
LOC_Os07g07860
LOC_Os10g40520
LOC_Os01g18744
LOC_Os12g36210
LOC_Os10g40510
LOC_Os02g44310
LOC_Os02g43660
LOC_Os06g38960
LOC_Os08g06100
LOC_Os11g42960
LOC_Os05g04380
LOC_Os02g48714
LOC_Os01g24550
LOC_Os07g43670
LOC_Os04g46810
LOC_Os01g18170
LOC_Os08g27840
LOC_Os04g16970
LOC_Os01g15320
LOC_Os01g55830
LOC_Os03g50030
LOC_Os04g53710
LOC_Os03g26820
LOC_Os05g04440
LOC_Os11g06720
LOC_Os01g02010
LOC_Os05g04510
LOC_Os05g04450
LOC_Os01g25560
LOC_Os10g40620
LOC_Os04g31520
LOC_Os01g48130
LOC_Os12g42876
LOC_Os03g25280
LOC_Os02g09490
LOC_Os03g58110
LOC_Os10g20510
LOC_Os03g51600
LOC_Os03g25320
LOC_Os01g24560
LOC_Os10g40530
LOC_Os03g12290
LOC_Os10g11730
LOC_Os03g18130
LOC_Os07g09520
LOC_Os03g30250
LOC_Os03g05640
LOC_Os04g33450
LOC_Os12g36240
LOC_Os06g35520
LOC_Os04g32740
LOC_Os01g18970
LOC_Os01g18050
LOC_Os01g67090
LOC_Os08g38170
LOC_Os07g33997
LOC_Os05g19570
LOC_Os07g03499
LOC_Os06g05930
LOC_Os05g04500
LOC_Os07g47990
LOC_Os08g03350
LOC_Os10g28050
LOC_Os01g40870
LOC_Os03g25300
LOC_Os01g48710
LOC_Os11g41150
LOC_Os04g42134
LOC_Os11g42940
LOC_Os03g13170
LOC_Os05g39960
LOC_Os01g61500
LOC_Os04g53560
LOC_Os06g02420
LOC_Os02g30050
LOC_Os01g16890
LOC_Os01g71830
LOC_Os01g68770
LOC_Os10g40710
LOC_Os10g28200
LOC_Os05g01280
LOC_Os07g18750
LOC_Os01g09080
LOC_Os06g19070
LOC_Os07g36264
LOC_Os10g32920
LOC_Os01g67134
LOC_Os01g14670
LOC_Os05g46430
LOC_Os03g59210
LOC_Os10g35110
LOC_Os06g41450
LOC_Os03g15460
LOC_Os09g13650
LOC_Os01g09510
LOC_Os03g60509
LOC_Os01g60790
LOC_Os11g24610
LOC_Os10g27174
LOC_Os02g12690
LOC_Os01g65380
LOC_Os07g35860
LOC_Os03g25330
